agu A股
kqjh 空前绝后
kqjl 考勤记录
kqk 看情况
kqkc 看情况
kqkd 可圈可点
kqke 口腔科
kqkj 可亲可敬
kqkje 克勤克俭
kqkp 孔雀开屏
kql 看起来
kqlh 捆起来
kqlt 空气流通
kqqx 空气清新
kqs 矿泉水
kqsa 喀秋莎
kqsv 矿泉水
kqtj 空前团结
kqwr 空气污染
kqws 口腔卫生
kqy 跨区域
kqyl 铿锵有力
kqyu 跨区域
kqyv 跨区域
kqyy 口腔医院
kqzd 考勤制度
kqzl 空气质量
krbd 岿然不动
krbh 叩拜
krbi 口鼻
krbp 扣蚌
krbu 口部
krbw 口碑
krcc 口疮
krce 扣车
krch 口才
krci 口吃
krcii 口词
krcj 旷日持久
krcn 口沉
krcp 口尝
krcr 口臭
krcs 溘然长逝
krct 口传
krcti 喟然长叹
krcu 扣除
krcy 口唇
krcye 扣存
krd 可溶的
krda 叩打
krdd 扣掉
krde 口德
krdh 口袋
krdi 扣抵
krdj 口淡
krfa 扣发
krfm 口风
krfn 扣分
krfu 口服
krgc 扣光
krgj 口感
krgl 口供
krgo 口过
krgr 口垢
krgt 扣关
krh 凯睿虹
krhc 口簧
krhk 口号
krhl 口红
krho 扣货
krhs 扣划
krhu 口胡
krhy 叩阍
krj 苦肉计
krjb 口紧
krjd 口角
krjde 扣缴
krjf 扣减
krjg 口径
krjge 抗日救国
krjh 口诀
krji 口技
krjw 抗日救亡
krjz 口诀
krke 口渴
krkg 口快
krkr 口口
krkt 扣款
krku 口苦
krky 快人快语
krl 可然律
krlc 口粮
krle 扣了
krlg 口令
krli 口里
krlj 扣篮
krlk 寇老
krlq 扣留
krlr 抠搂
krlv 可然律
krma 口马
krmf 口面
krmh 芤脉
krmi 口糜
krmk 扣帽
krmn 抠门
krmo 口蘑
krne 口讷
krnf 口年
krnk 看热闹
krnw 口内
krpj 扣襻
krqb 口琴
krqc 口腔
krqf 扣钱
krqg 口轻
krqi 口气
krqq 扣球
krqt 口泉
krrn 口人
krro 口若
krrr 扣肉
krru 口如
krsa 扣杀
krse 口舌
krsi 口试
krsii 口似
krsk 口哨
krsl 口诵
krsm 口声
krso 抠唆
krsoi 口说
krsp 扣上
krsq 抗日时期
krsr 抠搜
krsri 口授
krst 口算
krsu 口述
krsui 口诉
krsv 口水
krsve 扣税
krtd 口条
krtf 口甜
krti 扣题
krtj 口谈
krtr 口头
krtu 口吐
krvj 口岸
krvt 喟然而叹
krvu 抠儿
krw 可燃物
krwh 口外
krwj 口腕
krwn 口吻
krwu 口误
krww 口味
krx 可燃性
krxb 口信
krxc 口香
krxcu 看人下菜
krxd 口小
krxf 口涎
krxg 可溶性
krxh 口若悬河
krxq 口羞
krxs 扣下
krxx 叩谢
krxxe 扣人心弦
krya 扣押
kryb 口音
krye 口也
kryi 口译
kryj 口炎
kryn 慨然应诺
kryu 口语
kryv 口语
krz 困扰着
krza 扣杂
krze 扣着
krzh 扣在
krzi 扣子
krzie 苦日子
krzii 口子
krzj 口占
krzk 口罩
krzl 口中
krzm 扣证
krzn 叩诊
krzo 口拙
krzu 扣住
krzy 寇准
krzz 抗日战争
ksb 哭丧棒
ksbh 快速变化
ksbk 挎包
ksbki 卡萨布兰卡
ksbp 哭丧棒
ksbu 快三步
ksby 恪守不渝
ksbz 开山鼻祖
ksc 可生产
kscd 开始菜单
ksce 侉车
kscj 考试成绩
kscl 瞌睡虫
kscm 奎松城
kscs 靠山吃山
kscu 跨出
kscy 跨村
ksd 开始的
ksda 夸大
ksdd 垮掉
ksde 垮的
ksdee 考试的
ksdeo 快速的
ksdh 可视电话
ksdj 夸诞
ksdk 夸道
ksdko 空手道
ksdp 胯裆
ksdr 挎斗
ksdu 跨度
ksfu 夸父
ksfy 快速反应
ksfz 快速发展
ksge 挎个
ksgl 夸功
ksgo 跨国
ksgoi 跨过
ksgu 胯骨
ksh 开始后
kshg 考试合格
kshh 跨海
kshj 宽松环境
kshp 跨行
kshr 开始后
kshs 可视化
ksj 快速键
ksjb 跨进
ksjc 夸奖
ksjd 跨交
ksjf 快速键
ksjg 跨境
ksji 跨世纪
ksjl 开始建立
ksjr 开始进入
ksjs 开始建设
ksjx 跨接
kskl 开始考虑
kskr 夸口
ksks 夸夸
kskx 苦思苦想
ksl 开始了
ksle 垮了
ksli 跨立
kslj 跨栏
kslji 昆士兰
kslu 快速路
kslv 亏损率
ksm 看什么
ksma 跨马
ksmc 可数名词
ksmd 看似矛盾
ksme 看什么
ksmf 亏损面
ksmi 开司米
ksmv 克什米尔
ksmx 苦思冥想
ksnf 跨年
ksni 夸你
ksph 跨排
ksq 开始前
ksqc 挎枪
ksqf 克丝钳
ksqi 跨期
ksqie 枯水期
ksqu 跨区
ksquu 看上去
ksqv 看上去
ksqy 亏损企业
ksru 跨入
kss 开始时
kssa 跨杀
kssc 堪萨斯城
kssi 跨司
kssie 堪萨斯
kssii 跨市
kssiii 昆山市
kssiiu 喀什市
kssm 跨省
ksso 夸说
kssou 看守所
kssp 跨上
ksss 开始实施
kssu 抗生素
kssx 开始实行
kssy 开始使用
kst 喀斯特
ksta 垮塌
kstd 跨跳
kste 喀斯特
ksth 垮台
ksti 考试题
kstl 卡斯特罗
kstli 卡斯特里
ksto 夸脱
ksvg 空手而归
ksw 科索沃
kswo 科索沃
kswp 口说无凭
ksx 开始向
ksxc 跨乡
ksxf 跨县
ksxfi 口是心非
ksxg 可塑性
ksxge 可视性
ksxs 胯下
ksxse 扩散系数
ksxu 夸许
ksyd 困兽犹斗
ksye 跨页
ksyh 跨越
ksyj 开始研究
ksyk 夸耀
ksyt 跨院
ksyte 考试院
ksyz 跨越
ksz 开始在
kszb 客随主便
kszc 快速增长
kszd 困兽之斗
ksze 挎着
kszh 开始在
kszi 侉子
kszj 夸赞
kszl 跨中
kszli 哭丧着脸
kszn 考试指南
kszo 跨坐
kszp 夸张
kszs 开山祖师
kszv 夸嘴
ktbf 宽边
ktbo 宽博
ktbu 髋部
ktc 开天窗
ktcc 开天窗
ktcf 靠天吃饭
ktcj 口头禅
ktcm 宽城
ktco 宽绰
ktcp 宽敞
ktcx 开拓创新
ktda 宽大
ktde 宽的
ktdf 宽甸
ktdh 宽带
ktdl 款冬
ktdu 宽度
ktdw 科特迪瓦
ktfj 宽泛
ktfu 宽幅
ktfz 开拓发展
ktg 可提供
ktgc 宽广
ktge 款哥
ktgl 可提供
ktgo 可通过
ktgr 宽沟
ktgu 髋骨
ktgv 宽轨
kth 客套话
kthd 哭天嚎地
kthe 宽和
kthg 宽怀
kthl 宽宏
kthp 宽行
kthr 宽厚
kths 客套话
ktht 宽缓
kthv 恳谈会
ktj 空调机
ktjb 宽近
ktjbo 课堂纪律评比
ktjf 宽减
ktji 款级
ktjl 课堂纪律
ktjq 开拓进取
ktjs 宽假
ktjse 开拓精神
ktjx 宽解
ktjxo 课堂教学
ktkc 宽旷
ktkj 款坎
ktko 宽阔
ktkr 宽口
ktkt 款款
ktl 开通了
ktle 宽了
ktlq 款留
ktlu 宽路
ktlx 课堂练习
ktm 喀土穆
ktmf 宽免
ktml 哭天抹泪
ktmu 款目
ktp 卡通片
ktpb 宽频
ktpd 开天辟地
ktpf 卡通片
ktpg 宽屏
ktq 崆峒区
ktqs 款洽
ktqu 款曲
ktqv 崆峒区
ktrk 宽饶
ktrl 宽容
ktrn 宽仁
ktrp 宽让
kts 奎屯市
ktsc 宽爽
ktsce 开拓市场
ktse 宽赦
ktsi 款式
ktsl 宽松
ktso 宽说
ktsu 宽恕
ktti 宽体
ktv 卡塔尔
ktve 款额
ktvh 宽爱
ktvu 款儿
ktvui 卡特尔
ktwp 宽网
ktwu 款物
ktww 宽慰
ktx 开拓型
ktxb 宽心
ktxc 款项
ktxf 宽限
ktxg 款型
ktxs 宽狭
ktxz 科头跣足
ktye 款爷
ktyi 宽衣
ktyj 宽严
ktyr 宽宥
ktyt 款源
ktyu 宽裕
ktyui 口头语
ktyv 宽裕
ktyvi 口头语
ktz 开拓者
ktze 开拓者
ktzh 宽窄
ktzi 款子
ktzie 楷体字
ktzj 宽展
ktzl 宽纵
ktzm 宽政
ktzp 空头支票
ktzu 宽注
ktzuo 课题组
ktzz 开脱罪责
kuba 酷吧
kubd 库表
kubg 酷饼
kubh 枯败
kubi 酷毙
kubj 库班
kubk 酷保
kubw 库北
kuca 裤衩
kuce 酷车
kuch 苦菜
kuche 苦差
kuck 枯草
kucm 哭成
kucp 库藏
kucpe 苦唱
kucu 苦楚
kucv 枯瘁
kucy 库存
kucye 苦春
kudd 苦调
kude 苦的
kudh 裤带
kudi 苦杕
kudj 苦胆
kudm 苦等
kudp 裤裆
kudr 裤兜
kudt 库缎
kudu 苦读
kufm 裤缝
kufp 库房
kuge 酷哥
kugj 苦干
kugk 枯槁
kugl 苦工
kugn 苦根
kugo 苦果
kugr 酷狗
kugs 苦瓜
kugt 裤管
kugu 枯骨
kuhc 枯黄
kuhe 枯涸
kuhh 苦海
kuhj 哭喊
kuhk 哭号
kuho 苦活
kuhr 酷猴
kuhu 酷虎
kuhw 库黑
kujb 哭进
kujd 裤脚
kujf 苦谏
kujg 枯井
kuji 枯寂
kujq 苦酒
kujs 哭嫁
kuju 苦句
kujv 苦句
kujx 枯竭
kukc 苦况
kuke 库克
kukj 库坎
kukr 苦口
kukt 库款
kuku 苦苦
kula 酷啦
kulc 酷凉
kuld 裤料
kule 哭了
kulf 苦练
kulg 哭灵
kulh 库赖
kuli 苦力
kulk 苦劳
kull 窟窿
kulp 库朗
kulr 骷髅
kulu 库鲁
kulv 苦旅
kulw 苦累
kulx 酷烈
kuly 库仑
kulz 圐圙
kuma 酷马
kumb 酷民
kumd 酷妙
kumf 酷面
kumg 苦命
kumk 酷猫
kumn 苦闷
kumu 枯木
kumw 酷妹
kuna 库纳
kund 酷鸟
kunj 苦难
kunk 苦恼
kunq 酷牛
kunz 酷虐
kupg 酷评
kuph 酷派
kupo 哭破
kuqc 哭腔
kuqg 苦情
kuqi 哭泣
kuql 哭穷
kuqt 苦劝
kuqy 裤裙
kure 酷热
kurl 枯荣
kurn 苦人
kurr 苦肉
kuru 酷乳
kurv 酷睿
kusa 哭啥
kuse 苦涩
kusee 酷蛇
kush 库赛
kushe 酷晒
kusi 酷似
kusie 酷诗
kusj 酷闪
kusl 枯松
kusm 哭声
kusn 苦身
kusp 哭丧
kuspe 酷赏
kusr 枯瘦
kusu 酷暑
kusui 哭诉
kusv 苦水
kuta 库塔
kutg 酷听
kuti 哭啼
kutl 苦痛
kuto 窟拓
kutr 苦头
kutu 酷图
kutv 裤腿
kuva 苦啊
kuvh 酷爱
kuvk 苦熬
kuvn 库恩
kuvu 库尔
kuwa 裤袜
kuwj 苦完
kuwn 库蚊
kuwu 苦无
kuww 枯萎
kuxb 苦心
kuxc 苦想
kuxd 苦笑
kuxf 酷现
kuxg 酷刑
kuxh 苦学
kuxi 酷喜
kuxl 酷兄
kuxq 苦修
kuxs 酷夏
kuxt 酷炫
kuxx 酷鞋
kuxy 酷讯
kuya 哭呀
kuyb 苦因
kuye 枯叶
kuyi 苦役
kuyk 裤腰
kuyp 酷样
kuyu 苦于
kuyv 苦于
kuzc 酷装
kuze 哭着
kuzh 酷宅
kuzhe 苦在
kuzi 裤子
kuzie 枯枝
kuzj 苦战
kuzk 枯燥
kuzke 酷招
kuzl 苦衷
kuzm 苦挣
kuzo 苦作
kuzu 库主
kvbd 亏表
kvbg 溃兵
kvbh 溃败
kvbn 亏本
kvbu 跬步
kvbx 暌别
kvca 窥察
kvce 窥测
kvcj 亏产
kvcm 亏秤
kvde 亏得
kvdeo 库尔德
kvdf 馈电
kvdh 亏待
kvdo 揆度
kvdt 亏短
kvdv 愧对
kvfa 匮乏
kvfu 魁孚
kvge 亏个
kvgw 馈给
kvhe 睽合
kvhj 愧汗
kvhk 亏耗
kvhn 愧恨
kvhs 葵花
kvj 坎儿井
kvjf 窥见
kvjg 窥镜
kvjh 溃决
kvjq 愧疚
kvjs 盔甲
kvjx 匮竭
kvjy 溃军
kvjz 溃决
kvkj 窥看
kvkl 亏空
kvko 暌阔
kvkr 溃口
kvkv 睽睽
kvkz 柯尔克孜
kvkze 柯尔克孜族
kvlc 亏量
kvle 亏了
kvlg 愧领
kvlh 亏来
kvli 暌离
kvlj 溃烂
kvll 夔龙
kvls 库尔勒市
kvlt 溃乱
kvlu 馈路
kvlw 傀儡
kvlx 溃裂
kvmf 亏面
kvmn 夔门
kvmx 溃灭
kvng 奎宁
kvnh 魁奈
kvni 亏你
kvnj 愧赧
kvnl 溃脓
kvnv 愧恧
kvpj 亏盘
kvpo 窥破
kvq 科尔沁
kvqb 科尔沁
kvqf 亏欠
kvqfe 亏钱
kvqg 葵青
kvqh 匮缺
kvqi 魁歧
kvqq 窥求
kvrj 岿然
kvse 愧色
kvsei 蝰蛇
kvsi 窥视
kvsio 窥伺
kvsj 溃散
kvsje 奎山
kvsl 馈送
kvsr 魁首
kvsy 亏损
kvta 奎塔
kvth 魁台
kvtj 窥探
kvtk 溃逃
kvtl 愧痛
kvtp 馗塘
kvtr 盔头
kvtv 溃退
kvty 奎屯
kvvj 亏俺
kvwp 窥望
kvwu 魁梧
kvww 魁伟
kvxc 口耳相传
kvxi 揆席
kvxx 睽携
kvxy 窥寻
kvyg 亏盈
kvyi 傀异
kvyp 溃疡
kvyu 窥窬
kvyv 窥窬
kvzi 窥知
kvzie 盔子
kvzm 馈赠
kvzo 愧怍
kwb 勘误表
kwbd 勘误表
kwbj 可望不可及
kwc 考文垂
kwcv 考文垂
kwcw 开物成务
kwdw 课外读物
kwfd 课外辅导
kwhd 课外活动
kwhx 可维护性
kwj 矿务局
kwju 矿务局
kwjv 矿务局
kwkd 课外科技活动
kws 苦味酸
kwst 苦味酸
kwt 科威特
kwtc 科威特城
kwte 科威特
kwvj 可望而不可及
kwvje 可望而不可即
kwww 看望慰问
kwx 开玩笑
kwxd 开玩笑
kwy 矿物油
kwyd 课外阅读
kwyl 孔武有力
kwyr 空无一人
kwz 矿物质
kwzd 狂妄自大
kwzi 矿物质
kwzl 口无遮拦
kwzy 课外作业
kxbd 哭笑不得
kxc 开小差
kxch 空心菜
kxcm 科学城
kxd 科学的
kxde 科学的
kxdj 控涎丹
kxdk 快行道
kxdke 开信刀
kxdl 开学典礼
kxds 可惜的是
kxdu 可信度
kxff 科学方法
kxfx 科学分析
kxfz 科学发展
kxg 开心果
kxgf 科学规范
kxgl 凯旋归来
kxglu 科学管理
kxgo 开心果
kxgt 科学馆
kxgy 苦心孤诣
kxgz 科学工作者
kxh 科学化
kxhk 夸下海口
kxhs 科学化
kxhx 科学幻想
kxj 科学家
kxjb 科学技术部
kxjf 苛性碱
kxjh 科学技术协会
kxjhu 科学技术委员会
kxjs 空想家
kxjse 苛性钾
kxjsu 科西嘉
kxjsuo 科学技术
kxjx 科学界
kxjy 苦心经营
kxk 跨学科
kxkc 科学考察
kxke 跨学科
kxkh 可喜可贺
kxl 可信赖
kxlf 空穴来风
kxlh 可信赖
kxll 科学理论
kxlz 科学论证
kxm 凯旋门
kxmn 凯旋门
kxmz 科学民主
kxn 苛性纳
kxna 苛性钠
kxpj 科学普及
kxq 狂想曲
kxqu 狂想曲
kxqv 狂想曲
kxr 苦杏仁
kxrn 苦杏仁
kxs 亏心事
kxsi 亏心事
kxsm 苦行僧
kxsy 科学实验
kxsyu 科学试验
kxt 口香糖
kxtd 科学态度
kxtp 口香糖
kxv 卡西欧
kxvr 卡西欧
kxvu 卡西尔
kxvz 可想而知
kxwh 科学文化
kxx 可行性
kxxg 科学性
kxy 科学院
kxyj 科学研究
kxyju 科学依据
kxyq 科学仪器
kxyt 科学院
kxz 可选择
kxzd 康熙字典
kxze 可选择
kxzk 开小灶
kxzr 胯下之辱
kxzs 科学知识
kxzt 空心砖
kxztu 科学种田
kxzy 科学主义
kxzz 科学著作
kyba 困吧
kybae 可以把
kybd 坤表
kybg 溃疡病
kybh 昆百
kybhe 可以保护
kybi 坤笔
kybm 科研部门
kybp 捆绑
kybq 可遇不可求
kybu 科研部
kybw 困惫
kybz 可以帮助
kyc 开夜车
kyce 开夜车
kycg 科研成果
kycl 昆虫
kycm 悃诚
kycs 可以产生
kycu 困处
kycuu 科研处
kycx 科研创新
kycy 可以采用
kyd 可以的
kydd 可以得到
kyde 可以的
kydf 坤奠
kydfo 快一点
kydi 昆迪
kydk 库页岛
kydl 开业典礼
kydr 宽以待人
kydw 科研单位
kydy 困顿
kyfa 困乏
kyfu 捆缚
kyfw 可以分为
kyfx 可以发现
kyfz 可疑分子
kygk 可以概括
kygy 可以攻玉
kygz 科研工作
kyh 口语化
kyhd 可以获得
kyhl 可以忽略
kyho 困惑
kyhs 可以忽视
kyhu 昆沪
kyhv 锟贿
kyj 可以将
kyjb 捆紧
kyjc 可以将
kyjd 坤角
kyjdo 宽衣解带
kyjf 科研经费
kyjg 困境
kyjgu 科研机构
kyji 孔乙己
kyjie 扩音机
kyjiea 括约肌
kyjieu 抗氧剂
kyjj 可以解决
kyjl 困窘
kyjle 开源节流
kyjr 开云见日
kyjs 可以减少
kyjt 困倦
kyju 困局
kyjv 困局
kyk 看一看
kykc 可以看出
kykd 可以看到
kykj 看一看
kykl 可以考虑
kykt 科研课题
kyku 困苦
kykw 可有可无
kyky 困困
kylc 客运量
kyle 困了
kylee 可以了
kylg 坤伶
kylq 困留
kyly 昆仑
kylye 可以利用
kym 可以吗
kyma 可以吗
kymb 坤民
kymg 昆明
kymu 宽银幕
kymz 可以满足
kync 可用内存
kynj 困难
kynk 困恼
kypm 鲲鹏
kypo 困迫
kyqc 昆腔
kyqd 抗压强度
kyqi 扩音器
kyql 困穷
kyqu 昆曲
kyrk 困扰
kyrn 困人
kyrne 可以容纳
kyry 科研人员
kys 可以说
kysd 可以设定
kysi 困死
kysii 跨越式
kysj 昆山
kysjo 课余时间
kysm 坤胜
kysn 昆森
kyso 科研所
kysr 困守
kyss 可以说是
kysu 坤枢
kysuo 阔叶树
kysx 可以实现
kysy 昆孙
kytg 可以通过
kytm 昆腾
kytx 昆铁
kyve 困厄
kyvq 可遇而不可求
kyvu 捆儿
kyw 可以为
kywu 昆吾
kyww 康有为
kywx 口眼斜
kyx 可以向
kyxc 可以向
kyxg 抗药性
kyxge 可用性
kyxgo 溃疡性
kyxgu 科研新成果
kyxh 困学
kyxm 科研项目
kyxs 看一下
kyxy 可以休矣
kyxz 可以选择
kyya 困呀
kyyj 坤琰
kyyje 可以预见
kyyk 坤耀
kyyl 可以用
kyyp 昆阳
kyyr 昆友
kyys 科研院所
kyyt 坤元
kyyu 困于
kyyv 困于
kyyx 溃于蚁穴
kyza 捆扎
kyzd 可以找到
kyze 捆着
kyzh 困在
kyzhe 坤宅
kyzhea 可以在
kyzi 困踬
kyzie 克原子
kyziu 看样子
kyzj 客运站
kyzk 坤造
kyzl 昆仲
kyzm 可以证明
kyzr 可以转让
kyzu 困住
kyzx 可移植性
kzb 看着办
kzbf 口诛笔伐
kzbj 看着办
kzby 枯枝败叶
kzc 扩展槽
kzck 扩展槽
kzd 控制的
kzdd 康庄大道
kzde 控制的
kzfl 矿质肥料
kzfs 开闸放水
kzfw 枯燥乏味
kzfx 控制风险
kzgc 控制工程
kzgz 开展工作
kzhd 开展活动
kzhy 空中花园
kzj 控制键
kzjf 控制键
kzjs 客座教授
kzjx 开斋节
kzjxe 可直接
kzjy 空中加油
kzjz 控制机制
kzk 扩展卡
kzka 扩展卡
kzks 快嘴快舌
kzl 开展了
kzle 开展了
kzlg 空中楼阁
kzls 快嘴利舌
kzlv 空置率
kzly 控制论
kzlz 克孜勒苏柯尔克孜自治州
kzm 扩展名
kzmb 控制面板
kzmg 扩展名
kzmh 苛政猛于虎
kzml 开足马力
kzmy 开宗明义
kznk 库兹涅茨克
kznl 控制能力
kzpp 开展批评
kzpx 开展培训
kzq 控制器
kzqi 控制器
kzqj 刻舟求剑
kzqt 控制权
kzqu 控制区
kzqv 控制区
kzrk 脍炙人口
kzrke 控制人口
kzs 控制室
kzsi 看作是
kzsq 抗战时期
kzt 控制台
kzth 控制台
kzww 枯燥无味
kzx 控制线
kzxf 控制线
kzxt 控制系统
kzyw 开展业务
kzz 控制在
kzzh 控制在
kzzk 扩展总线接口
kzzl 控制指令
kzzx 控制中心
laba 喇叭
labf 拉变
labh 蜡白
labi 蜡笔
labj 蜡版
labp 拉帮
lacc 拉床
lace 拉扯
lacl 蜡虫
lacm 蜡层
lacn 拉抻
lacp 拉长
lacu 拉出
lada 拉大
lade 拉的
ladf 拉点
ladg 拉丁
ladi 蜡地
ladj 拉丹
ladk 拉倒
ladl 拉动
ladt 拉断
ladu 蜡堵
lafa 拉法
lafm 拉风
lafp 拉芳
lafu 拉夫
lagc 蜡光
lage 拉个
lagj 拉杆
lagk 拉高
lagl 拉弓
lagn 辣根
lago 拉过
lagr 拉勾
lags 拉呱
lagt 蜡管
lagu 拉古
laha 拉哈
lahc 蜡黄
laho 拉货
lahs 拉花
laht 拉环
lahu 拉祜
lahv 拉回
lajb 拉近
lajc 辣酱
lajd 辣椒
laji 垃圾
lajs 拉架
laju 拉锯
lajv 拉锯
lakc 拉框
lake 拉客
lakh 拉开
lala 拉拉
lalc 拉梁
lald 蜡疗
lale 拉了
lalf 拉链
lalh 拉来
lali 拉力
lall 拉拢
lalx 拉列
lama 喇嘛
lamd 蜡庙
lamf 拉面
lami 拉米
lamk 拉毛
lamn 拉门
lamo 拉模
lamw 辣妹
land 拉尿
lapd 拉票
lapg 拉平
laqi 拉起
lari 腊日
larj 蜡染
larn 拉人
larr 腊肉
laru 拉入
lasa 拉萨
lasi 拉屎
lasie 拉丝
lasm 拉升
lasn 拉伸
laso 拉锁
lasp 拉上
lasr 拉手
lasu 拉素
lasui 蜡熟
lata 邋遢
latd 拉条
lath 拉抬
latk 拉套
latu 拉图
latv 拉腿
lavu 腊尔
lawj 蜡丸
lawo 拉我
lawp 拉网
lawu 辣舞
laww 辣味
laxc 蜡像
laxf 拉线
laxh 腊雪
laxi 拉稀
layh 腊月
layp 拉秧
layy 拉运
layz 腊月
laza 拉闸
lazae 拉杂
lazc 蜡状
laze 拉着
lazg 拉拽
lazi 辣子
lazie 拉直
lazn 拉镇
lazr 拉州
lazre 拉走
lazu 蜡烛
lazv 喇嘴
lbba 淋巴
lbbd 林彪
lbbh 林白
lbbi 林比
lbbk 拎包
lbbku 狼狈不堪
lbbn 老版本
lbbo 鳞波
lbbp 邻邦
lbbu 林逋
lbbx 临别
lbc 刘伯承
lbcc 临床
lbci 鳞次
lbcii 临池
lbcj 临产
lbck 林草
lbcki 临朝
lbcl 林丛
lbcm 临城
lbcn 临晨
lbcp 林场
lbcpa 练兵场
lbcpi 临沧
lbcpo 溜冰场
lbct 临川
lbcx 力不从心
lbcxe 聊表寸心
lbcy 邻村
lbda 林大
lbde 来不得
lbdf 林甸
lbdg 冷不丁
lbdge 联邦德国
lbdh 林带
lbdj 林丹
lbdje 联邦调查局
lbdk 临到
lbdke 轮不到
lbdm 冷板凳
lbdo 里比多
lbdoa 力比多
lbds 利弊得失
lbdt 连蹦带跳
lbfm 临风
lbfn 两部分
lbfp 冷不防
lbfw 磷肥
lbge 林哥
lbgk 临高
lbgl 临工
lbgo 邻国
lbgt 林冠
lbgto 淋巴管
lbhe 临河
lbhh 林海
lbho 林火
lbhp 老本行
lbhs 磷化
lbhsi 喇叭花
lbht 临涣
lbjb 临近
lbjd 邻角
lbjf 零部件
lbjg 邻境
lbjh 拉帮结伙
lbjp 拉帮结派
lbjs 邻家
lbjse 两败俱伤
lbju 邻居
lbjv 邻居
lbjx 临街
lbjxo 淋巴结
lbk 离不开
lbkc 磷矿
lbkd 联邦快递
lbke 临客
lbkk 临考
lbkl 林控
lbkn 林肯
lbkp 牢不可破
lbkr 林口
lbkri 喇叭口
lbky 霖坤
lbkz 乐不可支
lblb 粼粼
lblg 林龄
lbli 林立
lblp 琳琅
lblq 礼拜六
lblqo 淋巴瘤
lblu 老八路
lblv 淋滤
lblw 累不累
lblx 凛冽
lbly 利比里亚
lblz 屡败屡战
lblze 雷贝拉唑
lblzo 类比论证
lbmk 鳞毛
lbmm 厉兵秣马
lbmn 临门
lbmo 临摹
lbmp 林莽
lbmr 林某
lbmu 林木
lbna 琳娜
lbnc 莱布尼茨
lbnj 临难
lbnl 林农
lbnn 黎巴嫩
lbnz 莱布尼兹
lbpb 遴聘
lbpf 鳞片
lbpg 临平
lbpj 临盘
lbpn 临盆
lbpu 临浦
lbq 了不起
lbqb 林檎
lbqc 林强
lbqce 萝卜青菜
lbqg 临清
lbqi 滤波器
lbqq 篮板球
lbqt 临泉
lbqu 临去
lbque 柳北区
lbqui 路北区
lbqv 柳北区
lbqvi 路北区
lbr 礼拜日
lbri 礼拜日
lbrj 凛然
lbrn 临人
lbru 临汝
lbrv 麟瑞
lbs 蓝宝石
lbsa 淋洒
lbse 吝啬
lbseu 邻舍
lbsi 临时
lbsia 灵宝市
lbsie 老不死
lbsii 临死
lbsio 礼宾司
lbsiou 礼拜四
lbsj 林杉
lbsjo 礼拜三
lbsk 林梢
lbsm 邻省
lbsn 林森
lbsp 鳞伤
lbsr 林薮
lbsra 力不胜任
lbss 乐不思蜀
lbst 磷酸
lbstu 狼奔豕突
lbsu 临沭
lbsv 临睡
lbsy 鲁滨孙
lbsyi 路不拾遗
lbsz 老蚌生珠
lbte 拉巴特
lbtf 礼拜天
lbtfe 老半天
lbtj 临潭
lbtk 临洮
lbtl 临潼
lbtp 礼拜堂
lbtr 临头
lbtx 临帖
lbvj 磷铵
lbvn 卢布尔雅那
lbvu 礼拜二
lbw 礼拜五
lbwa 林蛙
lbwj 六百万
lbwju 狼狈为奸
lbwn 临文
lbwno 刘伯温
lbwp 林网
lbwpa 骆宾王
lbwq 伦巴舞曲
lbwu 两不误
lbwuu 伦巴舞
lbwv 利伯维尔
lbww 临危
lbx 老百姓
lbxb 廪辛
lbxbo 淋巴细胞
lbxc 临湘
lbxf 临县
lbxfo 淋巴腺
lbxg 临行
lbxgo 六边形
lbxh 林学
lbxi 吝惜
lbxie 莱比锡
lbxq 林岫
lbxs 临夏
lbxx 鳞屑
lbxxi 蜡笔小新
lby 利比亚
lbya 利比亚
lbyb 林阴
lbye 林业
lbyeo 淋巴液
lbyg 临颍
lbyge 聊备一格
lbyh 临月
lbyi 礼拜一
lbyr 林友
lbyt 林园
lbyu 淋浴
lbyv 淋浴
lbyz 临月
lbz 腊八粥
lbzc 鳞状
lbze 临者
lbzei 临泽
lbzh 林寨
lbzi 林子
lbzie 林芝
lbzj 临战
lbzk 鳞爪
lbzl 临终
lbzm 林政
lbzn 临阵
lbzo 邻座
lbzp 临漳
lbzr 临走
lbzre 林州
lbzu 珞巴族
lbzy 凛遵
lcb 里程碑
lcba 两把
lcbd 量表
lcbf 两边
lcbfe 两遍
lcbg 两病
lcbh 两百
lcbi 两笔
lcbj 两 半
lcbjo 凉拌
lcbk 两包
lcbn 两本
lcbo 两拨
lcbp 乐此不疲
lcbu 两步
lcbw 两倍
lcbx 离愁别绪
lcbz 驴唇不对马嘴
lcc 冷藏车
lcca 凉茶
lccb 联产承包
lccc 凉床
lcce 两侧
lccee 靓车
lcch 凉菜
lcci 两次
lccj 量产
lcck 粮草
lccke 两朝
lccl 两重
lccm 两层
lccme 两成
lccn 良辰
lccp 粮仓
lccpe 两场
lccr 亮丑
lcct 两串
lccu 亮出
lccy 两寸
lccye 李长春
lccz 老成持重
lccze 联产承包责任制
lcczo 立此存照
lcda 两大
lcdd 龙船调
lcde 亮的
lcdf 两点
lcdg 梁顶
lcdh 两代
lcdi 两地
lcdj 两单
lcdje 两弹
lcdji 量单
lcdk 两道
lcdl 两栋
lcdle 落成典礼
